id_pedido,data,categoria,regiao,canal,quantidade,preco_unitario,receita
90,2023-09-29,Vestuário,Sudeste,Site,3,378.93,1136.79
91,2023-02-22,Casa,Nordeste,Marketplace,3,44.06,132.18
92,2024-08-31,Eletrônicos,Sul,Marketplace,2,1767.98,3535.96
93,2023-03-06,Vestuário,Nordeste,App,1,167.01,167.01
94,2023-09-12,Esportes,Sudeste,Marketplace,2,414.39,828.78
95,2023-12-01,Esportes,Centro-Oeste,App,2,490.68,981.36
96,2024-05-12,Esportes,Sul,Site,4,726.5,2906.0
97,2023-04-01,Casa,Sudeste,Marketplace,1,116.23,116.23
98,2023-06-16,Casa,Centro-Oeste,Marketplace,3,674.79,2024.37
99,2023-03-04,Eletrônicos,Centro-Oeste,Site,2,860.55,1721.1
100,2023-01-18,Vestuário,Sul,Site,1,86.86,86.86
101,2023-05-13,Casa,Nordeste,Site,2,404.82,809.64
102,2024-05-23,Casa,Sudeste,Marketplace,2,39.3,78.6
103,2024-01-31,Vestuário,Sudeste,Marketplace,4,267.59,1070.36
104,2023-09-03,Esportes,Norte,Site,3,481.24,1443.72
105,2024-05-16,Eletrônicos,Sudeste,Marketplace,2,3977.8,7955.6
106,2023-09-07,Livros,Sudeste,App,2,108.28,216.56
107,2024-12-24,Casa,Sul,Marketplace,2,806.98,1613.96
108,2023-07-21,Eletrônicos,Sudeste,Marketplace,3,2845.35,8536.05
109,2024-05-10,Esportes,Sul,App,1,221.22,221.22
110,2023-07-03,Casa,Sul,App,4,838.11,3352.44
111,2024-02-21,Casa,Sudeste,Site,1,442.94,442.94
112,2024-02-21,Vestuário,Sudeste,Marketplace,4,376.21,1504.84
113,2024-10-31,Eletrônicos,Sul,App,3,230.61,691.83
114,2023-09-01,Vestuário,Sudeste,Site,3,246.3,738.9
115,2023-03-20,Eletrônicos,Nordeste,Marketplace,1,3081.24,3081.24
116,2023-11-07,Casa,Sudeste,Marketplace,3,823.85,2471.55
117,2024-03-19,Casa,Sudeste,App,2,662.51,1325.02
118,2023-05-28,Esportes,Sudeste,Site,3,138.15,414.45
119,2024-12-28,Casa,Nordeste,Marketplace,3,685.24,2055.72
120,2024-01-04,Livros,Sudeste,Marketplace,2,30.3,60.6
121,2023-12-28,Vestuário,Sudeste,Site,3,351.32,1053.96
122,2024-03-03,Casa,Sudeste,Site,1,144.89,144.89
123,2024-02-13,Eletrônicos,Sudeste,Site,1,2930.08,2930.08
124,2023-11-03,Vestuário,Sul,App,3,374.73,1124.19
125,2024-02-08,Eletrônicos,Nordeste,Site,1,251.31,251.31
126,2023-10-22,Casa,Sudeste,Marketplace,2,796.55,1593.1
127,2024-12-26,Eletrônicos,Sudeste,Site,3,683.19,2049.57
128,2024-11-20,Vestuário,Sudeste,App,3,345.38,1036.14
129,2024-02-04,Vestuário,Sudeste,Site,4,361.89,1447.56
130,2023-02-05,Vestuário,Norte,App,4,68.59,274.36
131,2023-09-08,Esportes,Sudeste,App,4,360.41,1441.64
132,2023-08-27,Vestuário,Sudeste,Marketplace,3,159.59,478.77
133,2024-04-29,Vestuário,Sudeste,Site,4,196.06,784.24
134,2024-01-14,Livros,Sudeste,App,4,100.99,403.96
135,2023-04-03,Esportes,Nordeste,Site,3,567.7,1703.1
136,2024-03-12,Casa,Sul,App,1,527.91,527.91
137,2023-01-10,Eletrônicos,Sul,App,4,3046.28,12185.12
138,2023-01-31,Vestuário,Norte,Site,4,59.42,237.68
139,2023-01-12,Eletrônicos,Sudeste,Site,3,3024.46,9073.38
140,2023-06-26,Casa,Sul,Marketplace,1,364.67,364.67
141,2024-11-13,Vestuário,Sudeste,Site,1,382.57,382.57
142,2023-02-09,Eletrônicos,Nordeste,App,1,2973.19,2973.19
143,2024-03-15,Esportes,Sudeste,App,2,730.06,1460.12
144,2023-01-06,Eletrônicos,Sudeste,App,3,1288.36,3865.08
145,2023-02-06,Eletrônicos,Nordeste,App,2,290.84,581.68
146,2023-08-24,Esportes,Sul,App,4,707.23,2828.92
147,2023-04-30,Esportes,Sudeste,Marketplace,2,64.57,129.14
148,2023-10-25,Livros,Sul,Site,4,47.15,188.6
149,2023-02-08,Eletrônicos,Nordeste,Marketplace,3,3965.1,11895.3
150,2024-09-19,Esportes,Sul,App,2,514.31,1028.62
151,2023-11-27,Eletrônicos,Sudeste,App,1,1532.36,1532.36
152,2023-01-10,Casa,Nordeste,App,2,671.79,1343.58
153,2023-01-01,Eletrônicos,Sudeste,Marketplace,1,3443.28,3443.28
154,2024-06-06,Esportes,Sudeste,App,3,434.78,1304.34
155,2023-09-22,Casa,Sul,Marketplace,4,601.53,2406.12
156,2023-11-30,Livros,Sudeste,App,1,44.84,44.84
157,2024-05-09,Vestuário,Sudeste,App,4,48.41,193.64
158,2024-03-06,Vestuário,Sudeste,Site,1,322.6,322.6
159,2024-05-10,Eletrônicos,Nordeste,App,2,263.85,527.7
160,2023-04-17,Vestuário,Sul,App,4,111.81,447.24
161,2024-07-12,Vestuário,Sudeste,App,3,100.76,302.28
162,2024-08-08,Vestuário,Nordeste,App,2,63.16,126.32
163,2024-02-08,Eletrônicos,Nordeste,App,2,3832.19,7664.38
164,2023-10-04,Vestuário,Norte,Site,1,85.4,85.4
165,2023-08-02,Vestuário,Sudeste,Site,1,305.64,305.64
166,2023-10-27,Eletrônicos,Sul,Marketplace,1,1031.39,1031.39
167,2024-07-22,Esportes,Centro-Oeste,App,4,511.26,2045.04
168,2024-02-18,Eletrônicos,Nordeste,Marketplace,1,3255.97,3255.97
169,2023-05-19,Eletrônicos,Nordeste,Marketplace,2,2959.63,5919.26
170,2023-07-10,Casa,Sudeste,Site,1,190.6,190.6
171,2023-05-20,Vestuário,Sudeste,Marketplace,3,344.67,1034.01
172,2023-11-15,Eletrônicos,Nordeste,App,4,1332.36,5329.44
173,2023-07-31,Livros,Sudeste,Site,1,26.26,26.26
174,2023-04-09,Esportes,Sul,App,1,608.08,608.08
175,2024-04-16,Esportes,Sul,Marketplace,2,179.6,359.2
176,2024-05-28,Casa,Sudeste,Site,1,578.05,578.05
177,2023-09-03,Vestuário,Sul,App,2,126.85,253.7
178,2023-03-15,Esportes,Sul,Marketplace,4,310.41,1241.64
179,2023-10-23,Vestuário,Sudeste,Site,4,77.4,309.6
180,2023-07-24,Vestuário,Sudeste,Marketplace,4,346.09,1384.36
181,2023-10-06,Vestuário,Sudeste,Site,1,331.31,331.31
182,2023-06-09,Vestuário,Sudeste,Marketplace,1,90.35,90.35
183,2023-01-24,Vestuário,Nordeste,App,1,169.42,169.42
184,2023-04-07,Livros,Sul,Marketplace,3,67.93,203.79
185,2024-09-11,Eletrônicos,Sul,Site,2,2966.33,5932.66
186,2024-02-05,Eletrônicos,Sudeste,Site,1,350.66,350.66
187,2024-01-31,Livros,Nordeste,Marketplace,2,46.23,92.46
188,2023-05-24,Eletrônicos,Norte,App,1,1965.87,1965.87
189,2024-05-13,Livros,Nordeste,App,1,90.95,90.95
190,2024-07-02,Vestuário,Nordeste,App,1,343.72,343.72
191,2024-11-12,Eletrônicos,Sul,App,4,2735.89,10943.56
192,2023-07-24,Eletrônicos,Sudeste,App,4,2057.81,8231.24
193,2023-01-09,Livros,Centro-Oeste,Site,3,65.73,197.19
194,2024-12-07,Eletrônicos,Sudeste,Marketplace,4,3548.16,14192.64
195,2024-10-12,Eletrônicos,Nordeste,Site,4,1360.21,5440.84
196,2024-02-17,Eletrônicos,Nordeste,Site,4,1732.66,6930.64
197,2024-12-26,Casa,Norte,App,2,133.87,267.74
198,2023-03-06,Vestuário,Centro-Oeste,App,1,163.67,163.67
199,2024-02-13,Esportes,Sudeste,App,3,391.8,1175.4
200,2024-03-28,Livros,Sudeste,App,2,92.54,185.08
201,2023-06-06,Vestuário,Nordeste,Site,3,289.3,867.9
202,2023-06-02,Casa,Sudeste,App,4,164.09,656.36
203,2024-01-30,Vestuário,Nordeste,App,1,60.03,60.03
204,2023-10-03,Livros,Sudeste,Marketplace,1,64.05,64.05
205,2024-01-14,Casa,Sudeste,Site,2,886.99,1773.98
206,2023-06-01,Livros,Centro-Oeste,App,1,66.57,66.57
207,2023-11-16,Livros,Sudeste,Site,4,69.14,276.56
208,2023-07-27,Vestuário,Nordeste,Site,1,362.34,362.34
209,2024-01-23,Vestuário,Norte,Site,3,212.65,637.95
210,2024-03-23,Vestuário,Sudeste,Marketplace,4,44.5,178.0
211,2023-12-25,Casa,Sul,App,2,557.56,1115.12
212,2024-01-04,Eletrônicos,Sudeste,Site,2,2687.8,5375.6
213,2023-07-12,Livros,Nordeste,App,4,71.37,285.48
214,2023-01-15,Vestuário,Centro-Oeste,Site,3,126.24,378.72
215,2024-05-04,Casa,Sudeste,App,2,223.75,447.5
216,2024-10-31,Vestuário,Centro-Oeste,Site,4,225.79,903.16
217,2024-03-16,Eletrônicos,Sul,Site,2,1174.13,2348.26
218,2023-06-30,Esportes,Sul,App,3,286.85,860.55
219,2023-11-20,Eletrônicos,Nordeste,App,4,2909.05,11636.2
220,2023-12-21,Esportes,Centro-Oeste,Site,1,645.49,645.49
221,2023-11-05,Casa,Sul,App,3,187.44,562.32
222,2023-04-04,Livros,Nordeste,Site,4,99.89,399.56
223,2024-09-13,Casa,Norte,App,1,400.34,400.34
224,2023-10-07,Vestuário,Norte,App,4,360.18,1440.72
225,2023-01-08,Eletrônicos,Nordeste,App,1,3209.72,3209.72
226,2024-07-25,Livros,Nordeste,App,2,35.46,70.92
227,2023-01-12,Casa,Centro-Oeste,Marketplace,3,630.53,1891.59
228,2023-06-24,Vestuário,Sudeste,Site,3,293.74,881.22
229,2023-10-05,Livros,Sudeste,App,1,32.05,32.05
230,2024-09-08,Eletrônicos,Nordeste,App,1,2974.93,2974.93
231,2024-06-02,Vestuário,Nordeste,App,1,293.02,293.02
232,2024-03-24,Esportes,Nordeste,Site,1,228.14,228.14
233,2023-12-10,Esportes,Centro-Oeste,Marketplace,2,497.03,994.06
234,2024-04-07,Esportes,Centro-Oeste,App,4,360.09,1440.36
235,2024-10-02,Casa,Nordeste,App,1,107.58,107.58
236,2024-10-22,Livros,Sudeste,Marketplace,2,54.51,109.02
237,2024-07-05,Vestuário,Sudeste,App,4,46.3,185.2
238,2024-01-08,Vestuário,Sul,Site,1,142.08,142.08
239,2023-06-10,Vestuário,Sul,App,1,40.48,40.48
240,2023-04-12,Esportes,Sudeste,App,2,212.32,424.64
241,2023-09-28,Vestuário,Centro-Oeste,Site,3,390.24,1170.72
242,2024-04-12,Casa,Sudeste,App,4,652.48,2609.92
243,2023-05-17,Livros,Sul,Site,4,35.04,140.16
244,2024-04-08,Vestuário,Norte,Marketplace,4,333.31,1333.24
245,2024-08-26,Eletrônicos,Sul,Marketplace,4,1704.24,6816.96
246,2024-08-07,Vestuário,Centro-Oeste,Marketplace,4,395.57,1582.28
247,2023-09-14,Casa,Nordeste,App,4,767.88,3071.52
248,2023-04-03,Vestuário,Sudeste,App,2,379.57,759.14
249,2024-10-12,Livros,Sul,App,4,74.9,299.6
250,2023-06-09,Casa,Sudeste,App,2,761.29,1522.58
251,2024-04-21,Vestuário,Centro-Oeste,Site,1,48.42,48.42
252,2024-11-11,Eletrônicos,Sudeste,Marketplace,2,2997.45,5994.9
253,2024-11-20,Eletrônicos,Sudeste,App,4,1743.64,6974.56
254,2024-02-15,Casa,Sudeste,Marketplace,1,833.09,833.09
255,2023-10-22,Vestuário,Sudeste,App,4,371.94,1487.76
256,2023-05-29,Eletrônicos,Sul,Marketplace,4,3858.62,15434.48
257,2024-07-01,Eletrônicos,Sul,Site,3,344.66,1033.98
258,2023-11-06,Eletrônicos,Sudeste,App,3,237.86,713.58
259,2023-08-18,Esportes,Sudeste,Marketplace,4,240.29,961.16
260,2023-10-13,Casa,Sudeste,Site,4,156.07,624.28
261,2023-04-12,Vestuário,Centro-Oeste,Marketplace,1,317.63,317.63
262,2023-04-06,Vestuário,Norte,Site,1,124.27,124.27
263,2023-10-03,Vestuário,Sudeste,App,1,243.31,243.31
264,2024-03-08,Vestuário,Sudeste,Site,1,130.02,130.02
265,2023-09-22,Esportes,Sudeste,Site,4,81.28,325.12
266,2023-02-07,Esportes,Sul,Site,2,148.92,297.84
267,2023-08-16,Casa,Sudeste,App,4,816.61,3266.44
268,2023-02-13,Casa,Norte,App,1,415.4,415.4
269,2023-03-04,Vestuário,Sudeste,App,2,342.06,684.12
270,2023-07-08,Livros,Sudeste,App,4,90.32,361.28
271,2024-03-02,Livros,Nordeste,Marketplace,1,71.74,71.74
272,2023-09-28,Livros,Nordeste,Site,2,79.83,159.66
273,2023-02-21,Livros,Sudeste,Site,4,82.56,330.24
274,2024-02-16,Livros,Nordeste,Site,3,32.16,96.48
275,2024-11-01,Vestuário,Norte,Marketplace,1,380.41,380.41
276,2024-10-23,Livros,Sudeste,Marketplace,2,101.45,202.9
277,2024-10-11,Eletrônicos,Sul,App,3,3295.12,9885.36
278,2023-06-18,Vestuário,Nordeste,Marketplace,1,131.83,131.83
279,2024-08-28,Eletrônicos,Sul,Site,3,305.77,917.31
280,2023-04-19,Livros,Sudeste,App,4,42.16,168.64
281,2023-08-15,Livros,Sul,App,1,77.27,77.27
282,2023-04-08,Esportes,Centro-Oeste,Marketplace,2,658.32,1316.64
283,2024-07-31,Livros,Nordeste,Marketplace,4,67.76,271.04
284,2023-02-23,Esportes,Sul,Marketplace,2,741.82,1483.64
285,2024-01-25,Vestuário,Sudeste,Marketplace,2,309.16,618.32
286,2023-04-24,Eletrônicos,Sul,App,1,1108.31,1108.31
287,2024-11-07,Vestuário,Sudeste,Marketplace,4,129.75,519.0
288,2023-06-10,Vestuário,Sudeste,App,4,209.04,836.16
289,2023-12-06,Livros,Sul,App,3,47.99,143.97
290,2024-11-23,Esportes,Sudeste,App,4,761.56,3046.24
291,2024-01-20,Vestuário,Norte,App,3,55.66,166.98
292,2024-09-29,Vestuário,Sudeste,App,3,308.25,924.75
293,2024-12-05,Casa,Nordeste,Site,3,568.71,1706.13
294,2023-04-13,Livros,Nordeste,Marketplace,3,85.51,256.53
295,2024-04-24,Eletrônicos,Nordeste,Site,4,538.43,2153.72
296,2024-07-23,Livros,Sudeste,App,3,26.15,78.45
297,2024-09-16,Livros,Centro-Oeste,Marketplace,3,64.19,192.57
298,2023-01-05,Eletrônicos,Sul,Marketplace,3,3905.51,11716.53
299,2024-11-07,Livros,Centro-Oeste,App,2,39.23,78.46
300,2024-04-29,Vestuário,Sudeste,App,3,330.47,991.41
301,2023-07-17,Casa,Sul,Marketplace,1,444.92,444.92
302,2023-08-17,Eletrônicos,Sudeste,App,3,467.74,1403.22
303,2023-07-23,Vestuário,Sudeste,App,2,216.23,432.46
304,2023-09-19,Vestuário,Centro-Oeste,Marketplace,2,316.02,632.04
305,2024-12-06,Casa,Sul,Marketplace,4,579.62,2318.48
306,2023-06-14,Livros,Sul,Site,4,51.34,205.36
307,2023-06-04,Livros,Centro-Oeste,Marketplace,3,56.34,169.02
308,2024-02-15,Casa,Sudeste,Site,1,705.84,705.84
309,2024-05-23,Eletrônicos,Sul,Site,2,2897.67,5795.34
310,2024-11-10,Eletrônicos,Norte,Site,2,1336.19,2672.38
311,2024-07-30,Casa,Nordeste,App,1,254.13,254.13
312,2024-08-28,Eletrônicos,Sul,App,2,2152.49,4304.98
313,2023-08-15,Eletrônicos,Norte,App,3,2593.22,7779.66
314,2024-08-18,Vestuário,Sudeste,App,1,214.93,214.93
315,2024-05-02,Casa,Sudeste,Marketplace,4,211.7,846.8
316,2024-01-09,Livros,Nordeste,App,3,87.83,263.49
317,2024-06-24,Livros,Sudeste,Site,2,72.56,145.12
318,2024-12-11,Vestuário,Nordeste,App,4,194.5,778.0
319,2024-07-23,Vestuário,Nordeste,App,2,290.2,580.4
320,2024-09-04,Casa,Sudeste,Marketplace,3,282.01,846.03
321,2024-09-20,Esportes,Sudeste,Marketplace,1,503.11,503.11
322,2024-04-02,Esportes,Sudeste,Site,3,134.12,402.36
323,2023-07-02,Esportes,Sudeste,App,4,196.48,785.92
324,2024-10-11,Esportes,Nordeste,App,3,708.0,2124.0
325,2024-07-20,Eletrônicos,Sul,Site,3,749.47,2248.41
326,2023-03-05,Vestuário,Sudeste,App,2,191.9,383.8
327,2023-01-20,Vestuário,Sul,Marketplace,4,302.59,1210.36
328,2023-06-08,Livros,Sul,Site,3,75.82,227.46
329,2023-12-17,Esportes,Sudeste,App,4,472.13,1888.52
330,2024-10-24,Eletrônicos,Nordeste,Site,4,830.53,3322.12
331,2024-07-15,Esportes,Nordeste,App,3,461.77,1385.31
332,2023-05-12,Vestuário,Nordeste,App,2,219.88,439.76
333,2024-04-02,Esportes,Sudeste,App,4,386.39,1545.56
334,2023-03-02,Casa,Sudeste,Site,2,735.32,1470.64
335,2023-02-03,Eletrônicos,Sudeste,Marketplace,1,3021.37,3021.37
336,2023-10-12,Vestuário,Centro-Oeste,Marketplace,3,67.0,201.0
337,2023-12-19,Esportes,Sudeste,Site,1,613.97,613.97
338,2024-06-07,Casa,Sul,Marketplace,3,615.82,1847.46
339,2023-03-10,Eletrônicos,Centro-Oeste,Marketplace,3,391.94,1175.82
340,2024-03-10,Casa,Sudeste,App,1,450.8,450.8
341,2024-04-12,Livros,Nordeste,App,1,60.61,60.61
342,2024-01-24,Eletrônicos,Norte,Marketplace,4,2536.1,10144.4
343,2023-01-06,Esportes,Sul,Site,4,273.1,1092.4
344,2024-06-26,Casa,Sudeste,Site,4,491.35,1965.4
345,2023-03-19,Eletrônicos,Sudeste,Marketplace,1,2227.52,2227.52
346,2024-08-31,Vestuário,Sudeste,App,4,114.25,457.0
347,2024-05-16,Vestuário,Nordeste,App,2,358.4,716.8
348,2023-01-16,Vestuário,Sudeste,Site,4,334.41,1337.64
349,2023-12-06,Vestuário,Sudeste,Marketplace,3,209.05,627.15
350,2024-10-16,Eletrônicos,Sudeste,App,3,2445.34,7336.02
351,2023-01-27,Esportes,Sudeste,Site,2,583.97,1167.94
352,2024-03-15,Vestuário,Sudeste,App,2,78.21,156.42
353,2023-02-18,Casa,Nordeste,App,4,280.03,1120.12
354,2024-10-01,Esportes,Centro-Oeste,Site,3,367.16,1101.48
355,2023-05-23,Vestuário,Sul,Marketplace,1,346.34,346.34
356,2023-12-24,Vestuário,Sudeste,Marketplace,1,262.12,262.12
357,2024-03-17,Eletrônicos,Sudeste,Site,1,1250.91,1250.91
358,2023-09-01,Vestuário,Norte,App,3,210.48,631.44
359,2023-08-06,Esportes,Sudeste,App,2,535.08,1070.16
360,2023-04-08,Livros,Sudeste,Marketplace,3,92.48,277.44
361,2024-11-06,Casa,Nordeste,Site,3,434.39,1303.17
362,2024-06-22,Vestuário,Nordeste,Marketplace,3,373.06,1119.18
363,2023-08-19,Vestuário,Sudeste,Site,3,307.72,923.16
364,2023-03-29,Vestuário,Sudeste,Site,2,385.13,770.26
365,2023-12-21,Casa,Sudeste,Marketplace,3,647.4,1942.2
366,2024-08-31,Casa,Norte,Marketplace,2,503.51,1007.02
367,2024-09-01,Eletrônicos,Sudeste,App,3,1596.45,4789.35
368,2023-05-10,Livros,Sul,Site,2,69.38,138.76
369,2024-05-16,Vestuário,Centro-Oeste,Marketplace,4,290.6,1162.4
370,2023-02-21,Vestuário,Sul,Marketplace,2,389.76,779.52
371,2023-11-25,Casa,Sudeste,Marketplace,4,550.02,2200.08
372,2024-05-07,Eletrônicos,Nordeste,Marketplace,3,3101.98,9305.94
373,2023-03-13,Casa,Sudeste,App,2,538.64,1077.28
374,2024-01-12,Vestuário,Nordeste,Site,4,166.54,666.16
375,2023-06-06,Livros,Centro-Oeste,App,2,104.81,209.62
376,2023-05-13,Vestuário,Sudeste,Site,4,137.49,549.96
377,2024-07-24,Casa,Nordeste,Marketplace,4,727.52,2910.08
378,2023-01-29,Eletrônicos,Nordeste,Marketplace,4,979.99,3919.96
379,2024-07-17,Casa,Sul,App,3,511.92,1535.76
380,2023-07-27,Vestuário,Sul,App,1,348.18,348.18
381,2024-06-28,Casa,Sudeste,App,1,213.42,213.42
382,2024-09-24,Esportes,Sudeste,Site,2,790.42,1580.84
383,2024-12-12,Livros,Sudeste,App,2,86.09,172.18
384,2023-10-01,Vestuário,Nordeste,Marketplace,2,209.55,419.1
385,2024-12-04,Casa,Sudeste,App,3,221.69,665.07
386,2024-07-16,Casa,Sudeste,App,3,303.13,909.39
387,2024-10-17,Vestuário,Nordeste,Site,4,182.82,731.28
388,2024-12-21,Eletrônicos,Sudeste,App,1,2622.98,2622.98
389,2024-11-12,Esportes,Nordeste,Marketplace,2,407.44,814.88
390,2024-08-16,Livros,Sudeste,Site,1,110.77,110.77
391,2023-09-29,Vestuário,Sudeste,App,2,133.1,266.2
392,2024-12-21,Vestuário,Sudeste,Site,2,51.48,102.96
393,2024-10-07,Vestuário,Nordeste,Marketplace,1,167.4,167.4
394,2023-12-21,Esportes,Sudeste,Marketplace,3,333.69,1001.07
395,2023-03-12,Vestuário,Sudeste,Site,4,82.03,328.12
396,2024-11-25,Esportes,Norte,Site,2,688.53,1377.06
397,2024-04-30,Esportes,Sul,App,1,132.67,132.67
398,2023-05-23,Esportes,Sudeste,Marketplace,4,649.91,2599.64
399,2023-05-19,Casa,Centro-Oeste,Marketplace,2,465.39,930.78
400,2023-05-20,Casa,Sudeste,Site,2,276.27,552.54
401,2023-11-11,Eletrônicos,Sul,Site,1,3563.64,3563.64
402,2024-05-22,Vestuário,Sudeste,Site,4,135.57,542.28
403,2023-06-13,Esportes,Sudeste,Site,4,499.45,1997.8
404,2024-12-06,Casa,Sudeste,Marketplace,4,142.49,569.96
405,2023-01-13,Eletrônicos,Sudeste,App,2,3022.98,6045.96
